lp,title,link,localization,price,rooms_number,area,floor
96,4-pokojowe mieszkanie 75m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-75m2-balkon-bez-prowizji-ID4po8Z,"ul. Szeligowska, Chrzanów, Bemowo, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,75.85 m²,1 piętro
97,4-pokojowe mieszkanie 77m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-77m2-balkon-bezposrednio-ID4rkTk,"ul. Tytoniowa, Marysin Wawerski, Wawer, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,77.53 m²,2 piętro
98,"2 pokoje, Kamienica, Stara Ochota",https://www.otodom.pl/pl/oferta/2-pokoje-kamienica-stara-ochota-ID4u2C4,"ul. Częstochowska, Stara Ochota, Ochota, Warszawa, mazowieckie",750 000 zł,2 pokoje,42 m²,3 piętro
99,"przyjazne 2-pokojowe , garaż, Międzynarodowa",https://www.otodom.pl/pl/oferta/przyjazne-2-pokojowe-garaz-miedzynarodowa-ID4tt92,"ul. Międzynarodowa, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",880 000 zł,2 pokoje,49 m²,5 piętro
100,Chmielna Duo | mieszkanie 1-pok. | A1.53,https://www.otodom.pl/pl/oferta/chmielna-duo-mieszkanie-1-pok-a1-53-ID4p7tX,"ul. Chmielna, Mirów, Wola, Warszawa, mazowieckie",1 369 701 zł,1 pokój,38.65 m²,5 piętro
101,4-pokojowe mieszkanie 72m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-72m2-balkon-bez-prowizji-ID4reZ4,"ul. Oliwska, Bródno, Targówek, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,72.48 m²,1 piętro
102,4-pokojowe mieszkanie 80m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-80m2-balkon-bezposrednio-ID4tJqi,"ul. Podskarbińska, Grochów, Praga-Południe, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,80.61 m²,3 piętro
103,"Niski Blok, Cicha Okolica, Zielone Podwórko",https://www.otodom.pl/pl/oferta/niski-blok-cicha-okolica-zielone-podworko-ID4thF1,"ul. Wolska, Odolany, Wola, Warszawa, mazowieckie",730 000 zł,3 pokoje,47.6 m²,2 piętro
104,"Metro Ks. Janusza 50M, Widok Na Podwórko",https://www.otodom.pl/pl/oferta/metro-ks-janusza-50m-widok-na-podworko-ID4tpkv,"ul. Erazma Ciołka, Koło, Wola, Warszawa, mazowieckie",629 000 zł,2 pokoje,38.5 m²,2 piętro
105,"Metro 700M, Można Zrobić Pełen Rozkład",https://www.otodom.pl/pl/oferta/metro-700m-mozna-zrobic-pelen-rozklad-ID4tpsT,"ul. Redutowa, Ulrychów, Wola, Warszawa, mazowieckie",670 000 zł,3 pokoje,48.2 m²,1 piętro
106,"Słoneczne, Zielone, Ciche Podwórko, Prawie Centrum",https://www.otodom.pl/pl/oferta/sloneczne-zielone-ciche-podworko-prawie-centrum-ID4tP8a,"ul. Ogrodowa, Mirów, Wola, Warszawa, mazowieckie",935 000 zł,3 pokoje,52.6 m²,2 piętro
107,"Piękne, 2 pokojowe mieszkanie na Saskiej Kępie.",https://www.otodom.pl/pl/oferta/piekne-2-pokojowe-mieszkanie-na-saskiej-kepie-ID4tOBT,"Międzynarodowa 46/48A, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",729 000 zł,2 pokoje,38 m²,2 piętro
108,Mieszkanie Bemowo ul. Człuchowska,https://www.otodom.pl/pl/oferta/mieszkanie-bemowo-ul-czluchowska-ID4t6sW,"Jelonki Północne, Bemowo, Warszawa, mazowieckie",680 000 zł,3 pokoje,35.6 m²,4 piętro
109,5-pokojowe mieszkanie 101m2 + taras Bez Prowizji,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-101m2-taras-bez-prowizji-ID4qJp0,"ul. Redutowa, Ulrychów, Wola, Warszawa, mazowieckie",Zapytaj o cenę,5 pokoi,101.97 m²,8 piętro
110,4-pokojowe mieszkanie 61m2 + ogródek Bezpośrednio,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-61m2-ogrodek-bezposrednio-ID4sYrA,"ul. Winorośli, Nowodwory, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,61 m²,1 piętro
111,Stary Mokotów 2 pok. 50 kroków do metra Racławicka,https://www.otodom.pl/pl/oferta/stary-mokotow-2-pok-50-krokow-do-metra-raclawicka-ID4tOLZ,"al. Aleja Niepodległości 119, Stary Mokotów, Mokotów, Warszawa, mazowieckie",819 000 zł,2 pokoje,40 m²,1 piętro
112,4-pokojowe mieszkanie 70m2 + 2 balkony,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-70m2-2-balkony-ID4r1Ew,"ul. Skarbka z Gór 47, Grodzisk, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,70.33 m²,1 piętro
113,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-96m2-2-balkony-ID.4tabi,,,Brak informacji,Brak informacji,Brak informacji
lp,title,link,localization,price,rooms_number,area,floor
114,Blisko dzielnicy biurowo-biznesowej.,https://www.otodom.pl/pl/oferta/blisko-dzielnicy-biurowo-biznesowej-ID4syoj,"Służewiec, Mokotów, Warszawa, mazowieckie",1 300 000 zł,3 pokoje,65.66 m²,5 piętro
115,"Bezpośrednio, 53m2, wyposażone,garaż,piwnica.",https://www.otodom.pl/pl/oferta/bezposrednio-53m2-wyposazone-garaz-piwnica-ID4u2jy,"ul. Łopuszańska 51, Salomea, Włochy, Warszawa, mazowieckie",1 199 000 zł,3 pokoje,53.23 m²,4 piętro
116,"2 pokoje, bezpośrednio, nowe",https://www.otodom.pl/pl/oferta/2-pokoje-bezposrednio-nowe-ID4tQhr,"ul. Kolejowa 19, Czyste, Wola, Warszawa, mazowieckie",819 000 zł,2 pokoje,32.22 m²,6 piętro
117,1-pokojowe mieszkanie 29m2 + balkon,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-ID4r1Eg,"ul. Skarbka z Gór 47, Grodzisk, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,1 pokój,29.92 m²,1 piętro
118,3-pokojowe mieszkanie 58m2 + taras Bez Pośredników,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-58m2-taras-bez-posrednikow-ID4r0Ix,"ul. Instalatorów, Raków, Włochy, Warszawa, mazowieckie",Zapytaj o cenę,3 pokoje,58.42 m²,8 piętro
119,4-pokojowe mieszkanie 87m2 + loggia Bez Prowizji,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-87m2-loggia-bez-prowizji-ID4hzze,"ul. Głębocka, Grodzisk, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,87.76 m²,parter
120,Ostatnie Piętro Z Tarasem 106M2,https://www.otodom.pl/pl/oferta/ostatnie-pietro-z-tarasem-106m2-ID4tS5h,"Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",3 160 620 zł,4 pokoje,117.06 m²,4 piętro
121,"Sprzedam mieszkanie,61m2,Warszawa, Praga Pd,3pok.",https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-61m2-warszawa-praga-pd-3pok-ID4u2BJ,"ul. Łukowska, Gocławek, Praga-Południe, Warszawa, mazowieckie",740 000 zł,3 pokoje,61 m²,2 piętro
122,"Sprzedam Odstąpię mieszk Szeligowska Metro, szkoła",https://www.otodom.pl/pl/oferta/sprzedam-odstapie-mieszk-szeligowska-metro-szkola-ID4u2BC,"Szulimowska , osiedle Metro Zachód, Chrzanów, Bemowo, Warszawa, mazowieckie",524 700 zł,2 pokoje,30 m²,3 piętro
123,Atrakcyjne i wyjątkowe 131mkw na Ursynowie,https://www.otodom.pl/pl/oferta/atrakcyjne-i-wyjatkowe-131mkw-na-ursynowie-ID4u1Ku,"ul. Nowoursynowska 143, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",1 735 000 zł,5 pokoi,131 m²,3 piętro
124,2-pokojowe mieszkanie 53m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-53m2-balkon-bez-prowizji-ID4taRh,"ul. Komisji Obrony Robotników, Okęcie, Włochy, Warszawa, mazowieckie",Zapytaj o cenę,2 pokoje,53.15 m²,5 piętro
125,3-pokojowe mieszkanie 56m2 + balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-56m2-balkon-ID4eZ92,"ul. Loteryjki, Wólka Węglowa, Bielany, Warszawa, mazowieckie",760 182 zł,3 pokoje,56.73 m²,1 piętro
126,"Ostatnie piętro na Mokotowskiej, taras 100 m2",https://www.otodom.pl/pl/oferta/ostatnie-pietro-na-mokotowskiej-taras-100-m2-ID4tJn6,"ul. Mokotowska 63, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",4 400 000 zł,3 pokoje,112 m²,5 piętro
127,Widok na panoramę miasta,https://www.otodom.pl/pl/oferta/widok-na-panorame-miasta-ID4tbOy,"ul. Stanisława Dubois, Muranów, Śródmieście, Warszawa, mazowieckie",520 000 zł,1 pokój,28.1 m²,8 piętro
128,"Mokotów ul. Gagarina 7, bezpośrednio",https://www.otodom.pl/pl/oferta/mokotow-ul-gagarina-7-bezposrednio-ID4sf7b,"Sielce, Mokotów, Warszawa, mazowieckie",999 000 zł,3 pokoje,63.13 m²,3 piętro
129,"3 pokoje, kuchnia, Metro Wawrzyszew 200m",https://www.otodom.pl/pl/oferta/3-pokoje-kuchnia-metro-wawrzyszew-200m-ID4u2BE,"ul. Wrzeciono, Wrzeciono, Bielany, Warszawa, mazowieckie",679 000 zł,3 pokoje,48 m²,3 piętro
130,"Widok na Las, nowe, bez Prowizji, komórka, parking",https://www.otodom.pl/pl/oferta/widok-na-las-nowe-bez-prowizji-komorka-parking-ID4tml8,"ul. Aluzyjna 39, Nowodwory, Białołęka, Warszawa, mazowieckie",859 900 zł,3 pokoje,53.87 m²,2 piętro
131,2-pokojowe mieszkanie 44m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-44m2-balkon-bez-prowizji-ID4oaFE,"ul. Orzechowa, Raków, Włochy, Warszawa, mazowieckie",Zapytaj o cenę,2 pokoje,44.34 m²,4 piętro
132,3-pokojowe mieszkanie 59m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-balkon-bez-prowizji-ID4mASx,"ul. Aleksandra Kotsisa, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",Zapytaj o cenę,3 pokoje,59.67 m²,1 piętro
133,2-pokojowe mieszkanie 44m2 + ogródek Bez Prowizji,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-44m2-ogrodek-bez-prowizji-ID4oUbv,"ul. Polska, Siekierki, Mokotów, Warszawa, mazowieckie",778 808 zł,2 pokoje,44.79 m²,parter
134,2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-45m2-loggia-bez-prowizji-ID4syE0,"ul. Kazimierza Gierdziejewskiego, Szamoty, Ursus, Warszawa, mazowieckie",695 027 zł,2 pokoje,45.32 m²,2 piętro
135,3-pokojowe mieszkanie 63m2 + loggia,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-63m2-loggia-ID4rw2G,"ul. Marywilska 60, Żerań, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,3 pokoje,63.82 m²,2 piętro
136,4-pokojowe mieszkanie 89m2 + balkon,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-89m2-balkon-ID4tpcP,"ul. Goleszowska, Odolany, Wola, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,89.06 m²,3 piętro
137,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-ID.4r1Eg,,,Brak informacji,Brak informacji,Brak informacji
lp,title,link,localization,price,rooms_number,area,floor
138,"Warszawa, Białołęka, Aluzyjna 2 pokoje, 44,8 m2",https://www.otodom.pl/pl/oferta/warszawa-bialoleka-aluzyjna-2-pokoje-44-8-m2-ID4u2wK,"ul. Aluzyjna, Nowodwory, Białołęka, Warszawa, mazowieckie",525 000 zł,2 pokoje,44.8 m²,1 piętro
139,2-pokojowe mieszkanie 36m2 + ogródek,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-ogrodek-ID4sEar,"ul. Hilarego Koprowskiego, Wyczółki, Ursynów, Warszawa, mazowieckie",Zapytaj o cenę,2 pokoje,36.29 m²,parter
140,"Przestronne, rozkładowe 2-pokojowe mieszkanie",https://www.otodom.pl/pl/oferta/przestronne-rozkladowe-2-pokojowe-mieszkanie-ID4tapE,"ul. gen. Tadeusza Pełczyńskiego, Górce, Bemowo, Warszawa, mazowieckie",970 000 zł,2 pokoje,47.68 m²,3 piętro
141,1-pokojowe mieszkanie 27m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-bez-prowizji-ID4tRok,"ul. Marywilska 60, Żerań, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,1 pokój,27.87 m²,parter
142,4-pokojowe mieszkanie 89m2 + balkon,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-89m2-balkon-ID4tpcP,"ul. Goleszowska, Odolany, Wola, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,89.06 m²,3 piętro
143,2 pokoje. Dobry układ. Okna od podwórka,https://www.otodom.pl/pl/oferta/2-pokoje-dobry-uklad-okna-od-podworka-ID4u2By,"ul. Komitetu Obrony Robotników, Okęcie, Włochy, Warszawa, mazowieckie",525 000 zł,2 pokoje,37.28 m²,2 piętro
144,2-pokojowe mieszkanie 47m2 + balkon,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-47m2-balkon-ID4t99q,"ul. Stefana Okrzei, Stara Praga, Praga-Północ, Warszawa, mazowieckie",1 309 000 zł,2 pokoje,47.57 m²,4 piętro
145,2-pokojowe mieszkanie 37m2 + balkon,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-ID4mvma,"ul. Piotra Wysockiego, Bródno, Targówek, Warszawa, mazowieckie",Zapytaj o cenę,2 pokoje,37.49 m²,1 piętro
146,4-pokojowe mieszkanie 79m2 + ogródek Bezpośrednio,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-79m2-ogrodek-bezposrednio-ID4tkXM,"ul. Gratyny, Kępa Zawadowska, Wilanów, Warszawa, mazowieckie",1 409 000 zł,4 pokoje,79.98 m²,parter
147,5-pokojowe mieszkanie 114m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-114m2-balkon-bezposrednio-ID4rTSi,"ul. Szczotkarska, Jelonki Południowe, Bemowo, Warszawa, mazowieckie",Zapytaj o cenę,5 pokoi,114.92 m²,3 piętro
148,3-pokojowe mieszkanie 59m2 + loggia Bez Prowizji,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-loggia-bez-prowizji-ID4po6Z,"ul. Czarnomorska, Stegny, Mokotów, Warszawa, mazowieckie",Zapytaj o cenę,3 pokoje,59.45 m²,5 piętro
149,4-pokojowe mieszkanie 97m2 + 2 balkony,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-97m2-2-balkony-ID4t4hx,"ul. Rokokowa, Huta, Bielany, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,97.12 m²,1 piętro
150,"Mieszkanie, 3 pokoje, Marysin Wawerski, balkon",https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-marysin-wawerski-balkon-ID4sz1h,"Marysin Wawerski, Wawer, Warszawa, mazowieckie",998 000 zł,3 pokoje,61.79 m²,1 piętro
151,"Mieszkanie, 3 pokoje, Marysin, Wawer, balkon,garaż",https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-marysin-wawer-balkon-garaz-ID4sCkQ,"Marysin Wawerski, Wawer, Warszawa, mazowieckie",945 000 zł,3 pokoje,59.49 m²,2 piętro
152,2 pokoje. Włochy. Ciche. Igła,https://www.otodom.pl/pl/oferta/2-pokoje-wlochy-ciche-igla-ID4u2Be,"ul. Komitetu Obrony Robotników, Okęcie, Włochy, Warszawa, mazowieckie",465 000 zł,2 pokoje,31.89 m²,parter
153,Jasne 3 Pokoje Na Sadybie,https://www.otodom.pl/pl/oferta/jasne-3-pokoje-na-sadybie-ID4u2Bg,"ul. Jana III Sobieskiego, Sadyba, Mokotów, Warszawa, mazowieckie",745 000 zł,3 pokoje,46.6 m²,4 piętro
154,"Na sprzedaż mieszkanie 38 m2, 2-pokojowe.",https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-38-m2-2-pokojowe-ID4tmOi,"ul. Kijowska, Szmulowizna, Praga-Północ, Warszawa, mazowieckie",495 000 zł,2 pokoje,38 m²,1 piętro
155,3-pokojowe mieszkanie 65m2 + balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-65m2-balkon-ID4or6L,"ul. Posag 7 Panien, Szamoty, Ursus, Warszawa, mazowieckie",845 912 zł,3 pokoje,65.84 m²,1 piętro
156,3-pokojowe mieszkanie 56m2 + taras Bez Prowizji,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-56m2-taras-bez-prowizji-ID4tbnO,"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",2 608 000 zł,3 pokoje,56.07 m²,8 piętro
157,Mieszkanie z pięknym widokiem i świetną lokalizacą,https://www.otodom.pl/pl/oferta/mieszkanie-z-pieknym-widokiem-i-swietna-lokalizaca-ID4u2Bc,"ul. Kinowa, Grochów, Praga-Południe, Warszawa, mazowieckie",699 000 zł,2 pokoje,40.41 m²,10 piętro
158,4-pokojowe mieszkanie 76m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-76m2-balkon-bez-prowizji-ID4oP11,"ul. Jagiellońska, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,76.76 m²,7 piętro
159,2-pokojowe mieszkanie 39m2 + balkon,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-balkon-ID4ojrY,"ul. Skaryszewska, Kamionek, Praga-Południe, Warszawa, mazowieckie",Zapytaj o cenę,2 pokoje,39.65 m²,4 piętro
160,2-pokojowe mieszkanie 50m2 + ogródek,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-50m2-ogrodek-ID4qv8J,"ul. Optyczna, Marysin Wawerski, Wawer, Warszawa, mazowieckie",Zapytaj o cenę,2 pokoje,50.13 m²,parter
161,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-bez-prowizji-ID.4tRok,,,Brak informacji,Brak informacji,Brak informacji
lp,title,link,localization,price,rooms_number,area,floor
162,3-pokojowe mieszkanie 58m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-58m2-balkon-bez-prowizji-ID4po8t,"ul. Oliwska, Bródno, Targówek, Warszawa, mazowieckie",Zapytaj o cenę,3 pokoje,58.52 m²,4 piętro
163,4-pokojowe mieszkanie 88m2 + 2 balkony,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-88m2-2-balkony-ID4tGRK,"ul. Białego Dębu, Stegny, Mokotów, Warszawa, mazowieckie",2 290 000 zł,4 pokoje,88.43 m²,1 piętro
164,Wyjątkowy apartament z tarasem i ogródkiem,https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-z-tarasem-i-ogrodkiem-ID4sa1e,"ul. Kiprów, Grochów, Praga-Południe, Warszawa, mazowieckie",2 699 000 zł,4 pokoje,118 m²,parter
165,3-pokojowe mieszkanie 61m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-61m2-balkon-bezposrednio-ID4qv9Z,"ul. Optyczna, Marysin Wawerski, Wawer, Warszawa, mazowieckie",Zapytaj o cenę,3 pokoje,61.1 m²,3 piętro
166,3-pokojowe mieszkanie 67m2 + balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-67m2-balkon-ID4jBQL,"ul. Goździków, Marysin Wawerski, Wawer, Warszawa, mazowieckie",Zapytaj o cenę,3 pokoje,67.94 m²,5 piętro
167,4-pokojowe mieszkanie 77m2 + ogródek Bezpośrednio,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-77m2-ogrodek-bezposrednio-ID4swyd,"ul. Peonii, Zerzeń, Wawer, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,77.38 m²,1 piętro
168,4-pokojowe mieszkanie 116m2 + balkon,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-116m2-balkon-ID4nQTw,"ul. Bluszczańska, Siekierki, Mokotów, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,116.24 m²,1 piętro
169,3-pokojowe mieszkanie 66m2 + balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-66m2-balkon-ID4sopN,"ul. Familijna, Żerań, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,3 pokoje,66.91 m²,1 piętro
170,3-pokojowe mieszkanie 57m2 + 2 balkony,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-57m2-2-balkony-ID4sdb5,"ul. Bokserska, Wyczółki, Ursynów, Warszawa, mazowieckie",Zapytaj o cenę,3 pokoje,57.57 m²,3 piętro
171,2-pokojowe mieszkanie 46m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-46m2-balkon-bez-prowizji-ID4sA6g,"ul. Narwik, Górce, Bemowo, Warszawa, mazowieckie",Zapytaj o cenę,2 pokoje,46.91 m²,5 piętro
172,2-pokojowe mieszkanie 43m2 + balkon,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-43m2-balkon-ID4syAY,"ul. Kazimierza Gierdziejewskiego, Szamoty, Ursus, Warszawa, mazowieckie",657 392 zł,2 pokoje,43.17 m²,1 piętro
173,4-pokojowe mieszkanie 100m2 + ogródek Bezpośrednio,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-100m2-ogrodek-bezposrednio-ID4tkXP,"ul. Gratyny, Kępa Zawadowska, Wilanów, Warszawa, mazowieckie",1 709 000 zł,4 pokoje,100.14 m²,parter
174,4-pokojowe mieszkanie 94m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-94m2-balkon-bezposrednio-ID4oUcd,"ul. Polska, Siekierki, Mokotów, Warszawa, mazowieckie",1 563 500 zł,4 pokoje,94.62 m²,1 piętro
175,"Zadbane 2 Pokoje, Okolice Ronda Daszyńskiego",https://www.otodom.pl/pl/oferta/zadbane-2-pokoje-okolice-ronda-daszynskiego-ID4u2Ax,"Stara Ochota, Ochota, Warszawa, mazowieckie",750 000 zł,2 pokoje,34.85 m²,3 piętro
176,Mieszkanie 3 pokoje | loggia | Osiedle Wilno,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-loggia-osiedle-wilno-ID4u2As,"Targówek Fabryczny, Targówek, Warszawa, mazowieckie",959 000 zł,3 pokoje,58.95 m²,1 piętro
177,3-pokojowe mieszkanie 70m2 + taras Bezpośrednio,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-70m2-taras-bezposrednio-ID4psCW,"ul. Duninów, Henryków, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,3 pokoje,70.79 m²,3 piętro
178,4-pokojowe mieszkanie 95m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-95m2-balkon-bez-prowizji-ID4q2oZ,"ul. Bokserska, Wyczółki, Ursynów, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,95.07 m²,3 piętro
179,Mieszkanie Centrum Emilii Plater Bezpośrednio 37m2,https://www.otodom.pl/pl/oferta/mieszkanie-centrum-emilii-plater-bezposrednio-37m2-ID4tNBU,"ul. Emilii Plater, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",998 988 zł,3 pokoje,37.33 m²,2 piętro
180,"Mieszkanie, 85,50 m², Warszawa",https://www.otodom.pl/pl/oferta/mieszkanie-85-50-m-warszawa-ID4sKKk,"ul. Tomcia Palucha, Skorosze, Ursus, Warszawa, mazowieckie",1 505 000 zł,4 pokoje,85.5 m²,1 piętro
181,✅Okazja ✅ Do wprowadzenia się ✅ 2 Klimatyzacje ✅,https://www.otodom.pl/pl/oferta/okazja-do-wprowadzenia-sie-2-klimatyzacje-ID4tU8f,"ul. Skoroszewska, Skorosze, Ursus, Warszawa, mazowieckie",918 000 zł,2 pokoje,58.33 m²,2 piętro
182,Świetny układ / Obok metra / Widok na park,https://www.otodom.pl/pl/oferta/swietny-uklad-obok-metra-widok-na-park-ID4u2Ai,"ul. Giordana Bruna, Stary Mokotów, Mokotów, Warszawa, mazowieckie",809 000 zł,2 pokoje,45 m²,8 piętro
183,3pokoje w sercu Starego Mokotowa,https://www.otodom.pl/pl/oferta/3pokoje-w-sercu-starego-mokotowa-ID4u2jP,"ul. Puławska, Stary Mokotów, Mokotów, Warszawa, mazowieckie",1 399 000 zł,3 pokoje,73 m²,1 piętro
184,"Stary Mokotów, 3 pokoje | Bezpośrednio",https://www.otodom.pl/pl/oferta/stary-mokotow-3-pokoje-bezposrednio-ID4tTTe,"ul. Wiktorska 7, Stary Mokotów, Mokotów, Warszawa, mazowieckie",1 306 000 zł,3 pokoje,56.8 m²,3 piętro
185,Dwupokojowe mieszkanie w przedwojennej kamienicy,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-przedwojennej-kamienicy-ID4tuRu,"al. Aleja Niepodległości, Stary Mokotów, Mokotów, Warszawa, mazowieckie",805 000 zł,2 pokoje,40.65 m²,parter
186,3-pokojowe mieszkanie 60m2 + loggia,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-loggia-ID4roST,"ul. Zagłoby, Niedźwiadek, Ursus, Warszawa, mazowieckie",Zapytaj o cenę,3 pokoje,60.7 m²,9 piętro
187,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-61m2-balkon-bezposrednio-ID.4qv9Z,,,Brak informacji,Brak informacji,Brak informacji
lp,title,link,localization,price,rooms_number,area,floor
188,"Sprzedam mieszkanie,61m2,Warszawa, Praga Pd,3pok.",https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-61m2-warszawa-praga-pd-3pok-ID4u2BJ,"ul. Łukowska, Gocławek, Praga-Południe, Warszawa, mazowieckie",740 000 zł,3 pokoje,61 m²,2 piętro
189,1-pokojowe mieszkanie 43m2 + taras Bez Pośredników,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-43m2-taras-bez-posrednikow-ID4reXY,"ul. Oliwska, Bródno, Targówek, Warszawa, mazowieckie",Zapytaj o cenę,1 pokój,43.3 m²,parter
190,Mieszkanie na ogrodzonym osiedlu w sercu Warszawy,https://www.otodom.pl/pl/oferta/mieszkanie-na-ogrodzonym-osiedlu-w-sercu-warszawy-ID4tQlv,"ul. Leona Schillera, Muranów, Śródmieście, Warszawa, mazowieckie",1 195 000 zł,3 pokoje,47.8 m²,2 piętro
